,Energy In Bat 1,Energy In Bat 2,Energy In Bat 3,Energy Out Bat 1,Energy Out Bat 2,Energy Out Bat 3,PV Energy 1,PV Energy 2,PV Energy 3,Energy Gen 
2016-03-31,55.0,57.0,52.0,51.0,51.0,50.0,85.12,83.06,84.03,0.0
2016-04-01,57.0,61.0,55.0,54.0,55.0,54.0,85.47,84.26,85.15,0.0
2016-04-02,58.0,59.0,57.0,53.0,55.0,53.0,86.57,85.27,86.27,0.0
2016-04-03,55.0,56.0,56.0,55.0,56.0,57.0,85.44,83.9,85.0,0.0
2016-04-04,61.0,66.0,61.0,55.0,55.0,53.0,62.16,63.28,63.74,98.4
2016-04-05,65.0,68.0,58.0,55.0,57.0,53.0,59.81,59.6,54.39,117.9
2016-04-06,61.0,66.0,55.0,58.0,59.0,56.0,92.62,90.2,91.57,0.0
2016-04-07,59.0,60.0,59.0,57.0,59.0,55.0,84.71,83.29,84.81,15.9
2016-04-08,64.0,69.0,61.0,57.0,58.0,56.0,67.6,67.26,67.79,91.6
2016-04-09,66.0,70.0,60.0,59.0,63.0,56.0,67.33,66.37,67.73,94.0
2016-04-10,43.0,44.0,43.0,60.0,57.0,59.0,70.01,68.9,69.46,0.0
2016-04-11,66.0,65.0,65.0,51.0,49.0,50.0,45.83,44.85,45.34,165.3
2016-04-12,63.0,66.0,63.0,46.0,46.0,51.0,48.78,47.69,48.53,150.0
2016-04-13,57.0,61.0,57.0,55.0,56.0,53.0,36.69,35.92,36.22,152.8
2016-04-14,28.0,27.0,28.0,56.0,57.0,55.0,51.39,50.43,51.02,5.6
2016-04-15,84.0,89.0,84.0,47.0,47.0,49.0,52.01,49.4,49.13,225.5
2016-04-16,60.0,65.0,60.0,58.0,59.0,58.0,65.33,61.66,61.11,96.8
2016-04-17,64.0,65.0,63.0,57.0,60.0,56.0,65.8,64.65,65.61,97.7
2016-04-18,61.0,65.0,59.0,53.0,55.0,54.0,56.97,56.99,57.07,118.9
2016-04-19,62.0,65.0,60.0,60.0,60.0,56.0,61.73,60.67,62.07,103.4
2016-04-20,66.0,65.0,64.0,52.0,54.0,49.0,21.83,21.66,21.63,244.1
2016-04-21,51.0,55.0,41.0,55.0,56.0,55.0,51.97,50.78,51.28,74.1
2016-04-22,53.0,53.0,51.0,55.0,54.0,55.0,41.17,40.41,40.86,128.7
2016-04-23,63.0,64.0,65.0,48.0,48.0,50.0,53.69,52.14,52.72,149.5
2016-04-24,59.0,62.0,58.0,52.0,53.0,51.0,57.44,56.03,56.79,123.1
2016-04-25,61.0,61.0,59.0,58.0,57.0,56.0,60.71,59.75,60.41,89.7
2016-04-26,58.0,59.0,54.0,57.0,54.0,55.0,38.07,37.55,37.73,156.9
2016-04-27,66.0,62.0,62.0,53.0,53.0,52.0,51.29,50.3,51.17,128.8
2016-04-28,65.0,67.0,61.0,56.0,55.0,53.0,53.59,52.58,53.17,123.8
2016-04-29,60.0,63.0,57.0,54.0,54.0,52.0,91.1,88.04,90.38,0.0
